id,timestamp,item,action_or_command,result,status
50,2026-01-07T16:24:38+01:00,JIT/CPP kernel cache key stability,"Preserve MixedElement.signature field order; include (on_facet, rank) in KernelCache signature; bump CODEGEN_ABI strings","Eliminates cache collisions/stale kernel reuse that broke interface flux parity/p-refinement tests; full pytest passes; FSI-2 fully Eulerian converges through first two time steps (cpp backend).",cleared
51,2026-01-07T17:46:16+01:00,Active-field compression on warm cache,"Preserve MixedElement field order in _active_field_order; do not override IR-derived active fields from PARAM_ORDER when runner.active_fields is missing (cache hit)","Fixes JIT vs Python parity failures for interface flux terms when kernels are loaded from cache (e.g., tests/ufl/test_pos_neg.py); full pytest passes (317 passed, 2 skipped).",cleared
52,2026-01-08T00:39:10+01:00,FSI-2 step-3 Newton line-search failure,"Reproduce: PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp ALLOW_DT_REDUCTION=1 REFINE_INITIAL=0 LEVELSET_UPDATE_TOL=1e-8 USE_ALIGNED_INTERFACE=1 USE_LINEAR_SOLID=0 SAVE_VTK=0 conda run -n fenicsx python -u examples/turek_fsi_fully_eulerian.py --turek-case fsi2 --max-steps 3 --dt 0.005 --no-pin-pressure","Before: step-2 level-set refresh produced cut_elems≈84, interface_edges≈8 (tiny max|Δφ|≈2.4e-5) and step-3 Newton started with |R|∞≈2.6e3 then line-search failed; After: add LEVELSET_SNAP_EPS (default=1e-3*h) and snap φ(|φ|<=eps)→0 during update; step-3 now converges in 7 Newton iterations at dt=0.005 with stable cut_elems=40/interface_edges=48.",cleared
53,2026-01-09T01:16:26+01:00,Unified precompute benchmark (no Newton),conda run -n fenicsx python -u scripts/benchmark_unified_precompute.py --repeat 1,"Default: baseline=6.924s unified=2.871s; PYCUTFEM_JIT_BACKEND=cpp: baseline=5.162s unified=1.844s (meets ≤2s); run-to-run variability observed (CPU/load).",cleared
54,2026-01-09T01:16:26+01:00,compile_multi unified precompute,Enable shared unified precompute bundle across integrals in jit.compile_multi + add call-count regression test,"precompute_unified_factors called once per refresh; cut_volume_factors ≤2 calls; ghost_factors ≤1 call for multi-integral forms (tests/test_unified_precompute.py).",cleared
55,2026-01-09T01:16:26+01:00,C++ geometry pybind helper,Added pycutfem/jit/cpp_backend/precompute_geom.cpp + loader and parity tests,"quad_jacobian_det_inv matches Python reference for Q1/Q2; ghost precompute can opt into C++ geometry via PYCUTFEM_PRECOMPUTE_GEOM_BACKEND=cpp (tests/test_cpp_precompute_geom.py).",cleared
56,2026-01-09T09:12:03+01:00,phi signature regression in compile_multi,Restore `_phi_sig` in interface/cut/ghost static args so phi-change detector tests don't compare None,"Fixes tests/ufl/test_interface_segments_aligned.py::test_phi_changed_detector_*; compute centroid φ for element kernels and first-qp φ for edge kernels.",cleared
57,2026-01-09T13:25:58+01:00,Large-mesh subset hash overflow,Use int64 in core/dofhandler.py::_hash_subset to avoid int32 overflow,Interface-segment hashing no longer crashes on large element ids (eid>>15); benchmark mesh_size=0.005 runs,cleared
58,2026-01-09T13:25:58+01:00,Fast cut-volume precompute,"Add QUAD/no-deformation fast path in DofHandler.precompute_cut_volume_factors + element-aware φ eval in CutIntegration","cut_volume_factors now ~0.13–0.16s for 78 cut elements (mesh_size=0.01) instead of ~1.3s; avoids per-QP Python loops and slow FE φ owner searches.",cleared
59,2026-01-09T13:25:58+01:00,Fast ghost/interface side masks,"Rewrite HelpersFieldAware.build_side_masks_by_field to evaluate φ at reference DOF nodes via LevelSetGridFunction.value(s)_on_element_many","Eliminates expensive physical-point owner search: ghost_factors ~5.1s→0.24s and interface_factors ~1.8s→0.09s (mesh_size=0.01); unified precompute drops ~7.19s→0.61s.",cleared
60,2026-01-09T13:25:58+01:00,Unified precompute benchmark (updated),"conda run -n fenicsx python -u scripts/benchmark_unified_precompute.py --mesh-size 0.01/0.005 --repeat 1 --warmup --profile-precompute","mesh_size=0.01: baseline=1.515s unified=0.611s; mesh_size=0.005: baseline=1.719s unified=0.679s (≤2s target).",cleared
61,2026-01-09T13:25:58+01:00,Precompute regression tests,Add tests/test_precompute_regressions.py and run targeted pytest (jit/cpp),"New tests: side-mask parity vs physical φ eval + _hash_subset large-id guard; pytest passed under default and PYCUTFEM_JIT_BACKEND=cpp.",cleared
62,2026-01-09T09:36:13+01:00,Merge perf/unified-precompute into working branch,"git fetch origin perf/unified-precompute:perf/unified-precompute; git stash push -u; git merge perf/unified-precompute; git stash pop; PYCUTFEM_JIT_BACKEND=cpp conda run -n fenicsx python -m pytest -q tests/test_unified_precompute.py tests/test_cpp_precompute_geom.py tests/ufl/test_sliver_scalar_system.py tests/ufl/test_alignment_switch_continuity.py",Unified precompute + C++ geom precompute merged; targeted tests pass,cleared
63,2026-01-09T09:36:13+01:00,Turek FSI2 smoke run with unified precompute,"PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp PYCUTFEM_UNIFIED_PRECOMPUTE=1 PYCUTFEM_PRECOMPUTE_GEOM_BACKEND=cpp ALLOW_DT_REDUCTION=1 PYCUTFEM_ABORT_ON_DT_REDUCTION=1 REFINE_INITIAL=0 LEVELSET_UPDATE_TOL=1e-8 USE_ALIGNED_INTERFACE=1 USE_LINEAR_SOLID=0 SAVE_VTK=0 conda run -n fenicsx python -u examples/turek_fsi_fully_eulerian.py --turek-case fsi2 --max-newton-iter 60 --max-steps 2 --linear-solver petsc --dt 0.005 --no-pin-pressure","Completed 2 steps; kernel refresh time after step 1 ~38.84s (previously ~97s) but still too slow for long runs.",open
64,2026-01-09T09:36:13+01:00,Ghost stabilization band for one-sided sliver cases,Update make_domain_sets to build an interior-edge band around cut cells when one side has no full elements,"Fixes singular systems when fluid_ghost/solid_ghost would be empty (regression caught by tests/ufl/test_sliver_scalar_system.py).",cleared
65,2026-01-09T09:36:13+01:00,Lag symmetric solid Nitsche flux,Use disp_n (lagged) in symmetric solid test flux when nonlinear solid (SOLID_SYM_NITSCHE_LAGGED=1),Removes Jacobian inconsistency that triggered line-search failures during sudden interface-set changes,cleared
66,2026-01-09T09:36:13+01:00,Disable interface-edge quadrature projection by default,Default ghost/interface edge quadrature does not project to φ=0 (PYCUTFEM_INTERFACE_EDGE_PROJECT=0),"Avoids discontinuous edge integration when the interface is nearly aligned; improves cut↔aligned handover robustness.",cleared
67,2026-01-09T12:32:45+01:00,Reproduce step-6 stall (dealii line-search),"PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp PYCUTFEM_UNIFIED_PRECOMPUTE=1 PYCUTFEM_PRECOMPUTE_GEOM_BACKEND=cpp ALLOW_DT_REDUCTION=0 REFINE_INITIAL=0 LEVELSET_UPDATE_TOL=1e-8 USE_ALIGNED_INTERFACE=1 USE_LINEAR_SOLID=0 SAVE_VTK=0 BETA_PENALTY=1000 PYCUTFEM_DUMP_LEVELSET=1 PYCUTFEM_LEVELSET_DUMP_DIR=_turek_levelset_dumps/run10 conda run -n fenicsx python -u examples/turek_fsi_fully_eulerian.py --turek-case fsi2 --max-newton-iter 60 --max-steps 10 --linear-solver petsc --dt 0.005 --no-pin-pressure","With LS_MODE=dealii, Newton hits Line search failed (no residual decrease) at step 6; level-set dump confirms large Δφ spikes around steps 4–5 and a sudden domain-set change.",cleared
68,2026-01-09T12:32:45+01:00,Armijo line-search survives sudden cut/interface switch,"Same run as (67) but LS_MODE=armijo; max-steps 6 (dumps in _turek_levelset_dumps/run6_armijo)","Step 6 converges (15 Newton iters) and post-step tagging shows a sudden cut_elems/interface_edges change; removes the “stuck at step 6” blocker.",cleared
69,2026-01-09T12:32:45+01:00,Line-search robustness fallback (dealii→Armijo),Update NewtonSolver: if LS_MODE=dealii fails to find any decrease then retry with Armijo and reset warm-start α,"Prevents hard failure from dealii ∞-norm backtracking in pathological steps; still recommend LS_MODE=armijo for long runs.",cleared
70,2026-01-09T12:32:45+01:00,Default LS_MODE=armijo for Turek fully-Eulerian,Change examples/turek_fsi_fully_eulerian.py default --ls-mode/env LS_MODE to armijo,"Out-of-the-box run no longer stalls at step 6; dealii mode remains selectable via LS_MODE/--ls-mode.",cleared
71,2026-01-09T12:32:45+01:00,Level-set dump replay test + ignore dumps dir,Fix tests/ufl/test_turek_levelset_dump_replay.py to reconstruct Mesh Node objects from mesh.npz; add _turek_levelset_dumps/ to .gitignore,Replay pytest now works for dumped phi_fail/phi_step files and debug dumps don’t pollute git status.,cleared
72,2026-01-09T14:18:06+01:00,Disable dt “slow/fast” adaptation by default,Add DT_ADAPT_ON_SUCCESS (default=0) so ALLOW_DT_REDUCTION only reduces dt on Newton failure (no slow-step dt drift),Keeps dt stable for debugging while still permitting fail-only dt reduction when enabled.,cleared
73,2026-01-09T14:18:06+01:00,Dumps: add full-state snapshots (optional),"Add PYCUTFEM_DUMP_STATE(+_EVERY/_DIR) and dump on failure; fix post-step time bookkeeping using cumulative dt","Enables offline replay/analysis of a failing Newton step without rerunning the full simulation.",cleared
74,2026-01-09T14:18:06+01:00,Level-set update: evaluate displacement from solid side,Restrict fallback displacement evaluation in update_beam_levelset_from_displacement to elem_tags={'inside','cut'},"Reduces spurious/large φ updates caused by sampling displacement in fluid elements; improves robustness around sudden cut/aligned transitions.",open
75,2026-01-09T14:18:06+01:00,Newton relative tolerance option,Add NewtonParameters.newton_rtol + NEWTON_RTOL env wiring in turek_fsi_fully_eulerian.py,Allows accepting steps where ‖R‖∞ stalls above NEWTON_TOL but is small relative to initial residual.,cleared
76,2026-01-09T14:51:00+01:00,Step-scoped directional-derivative check,Run with PYCUTFEM_NEWTON_FD_CHECK=1 PYCUTFEM_NEWTON_FD_STEP=5 (max-steps 5) to assess Jacobian consistency at the problematic step,"Observed DD mismatch O(1e-5) (small) while residual drops normally; suggests failures are more about initial guess/robustness than Jacobian discontinuity.",cleared
77,2026-01-10T14:03:13+01:00,Level-set kernel refresh trace/validation,"PYCUTFEM_LEVELSET_REFRESH_TRACE=1 PYCUTFEM_LEVELSET_REFRESH_VALIDATE=1 PYCUTFEM_LEVELSET_REFRESH_VALIDATE_RAISE=1 ... conda run -n fenicsx python -u examples/turek_fsi_fully_eulerian.py --turek-case fsi2 --final-time 0.01 --dt 0.005","Trace shows total_kernels=44 (K=22,F=22), ls_dependent=44, buildable=44; refreshed 44/44 and validation passed (no stale kernels, no hidden refresh exceptions).",cleared
78,2026-01-10T16:04:02+01:00,Turek restart step-4 baseline failure (no CIP),"ALLOW_DT_REDUCTION=1 PYCUTFEM_ABORT_ON_DT_REDUCTION=1 ... --restart-dir _turek_debug_now3/run1 --restart-step 2 --final-time 0.02","At t0=0.015 (global step 4), Newton stalls around |R|_inf ~6e-4 and then Armijo line-search fails; dt reduction requested -> abort (reproduces step-4 blocker).",open
79,2026-01-10T16:04:02+01:00,Turek restart step-4 with CIP stabilization,"PYCUTFEM_CIP_BETA_FLUID=0.1 PYCUTFEM_CIP_BETA_SOLID=0.1 PYCUTFEM_CIP_BETA_DISP=0.1 ... --restart-dir _turek_debug_now3/run1 --restart-step 2 --final-time 0.02","Step 4 converged at dt=0.005 without dt reduction (CIP seems to remove the step-4 Newton/line-search failure). Needs longer-run validation (t→3).",open
80,2026-01-10T19:50:37+01:00,XFEM-style multi-field status (pos/neg fields),"Confirm Turek fully-Eulerian already uses split fields by side (fluid: u_pos_*, p_pos_ on Ω+; solid: vs_neg_*, d_neg_* on Ω-) with inactive DOF tagging; add/enable nearest-neighbor extension of newly-activated DOFs after level-set retagging (PYCUTFEM_EXTEND_NEWLY_ACTIVE_DOFS=1) to avoid residual jumps when the active set changes; no duplicate “fluid u_neg” field added (would be fictitious inside solid).","Multi-field per domain is already in use; DOF-extension reduces sudden cut/interface-switch induced residual jumps. Remaining Newton stall (step ~7) likely needs stronger convection/interface stabilization or penalty scaling rather than doubling the fluid unknowns.",cleared
81,2026-01-10T20:30:20+01:00,Peclet diagnostics (fluid + cut),"Add optional Peclet number diagnostics in examples/turek_fsi_fully_eulerian.py (PYCUTFEM_PECLET_TRACE=1). Prints Pe mean and p-norm (proxy for max) for full fluid domain (Ω+) and cut-region (Ω+∩cut) once per time step and on Newton failure.","Lets us confirm whether problematic steps correlate with local Pe≫1 (indicating convection-dominated instability) and tune CIP/SUPG/skew-convection accordingly.",cleared
82,2026-01-10T21:06:12+01:00,Peclet diagnostics (per-Newton estimate),"Add optional per-Newton iteration Pe estimate (PYCUTFEM_PECLET_TRACE_NEWTON=1) using DOF-wise |u|∞ scaling (full + cut nodes) so we can see when Newton iterates blow up the velocity field (even if Pe at iteration 0 is small).","Helps distinguish “physics is convection dominated” vs “Newton step drives u to huge values,” and correlates line-search failures with Pe spikes during the iteration.",cleared
83,2026-01-10T21:40:04+01:00,Richter-style pressure stabilization (ghost edges),"Implement optional pressure stabilization terms on the fluid ghost-edge set in examples/turek_fsi_fully_eulerian.py: jump form h^3[∇p]·[∇q] and average form h^3{∇p·∇q}, controlled by PYCUTFEM_PRESSURE_STAB_JUMP / PYCUTFEM_PRESSURE_STAB_AVG; included in penalty retry scaling and FD term splitting.","Aims to damp spurious pressure modes/huge pressure increments during early Newton steps near the moving interface, without requiring pressure pinning.",open
81,2026-01-10T20:05:10+01:00,FSI-2 early steps not stuck under Armijo+CIP,"Run baseline: PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp PYCUTFEM_UNIFIED_PRECOMPUTE=1 PYCUTFEM_PRECOMPUTE_GEOM_BACKEND=cpp PYCUTFEM_FULL_STATIC_FIXED=1 PYCUTFEM_ABORT_ON_DT_REDUCTION=1 ALLOW_DT_REDUCTION=1 REFINE_INITIAL=0 LEVELSET_UPDATE_TOL=1e-8 USE_ALIGNED_INTERFACE=1 USE_LINEAR_SOLID=0 SAVE_VTK=0 conda run -n fenicsx python -u examples/turek_fsi_fully_eulerian.py --turek-case fsi2 --max-steps 6 --dt 0.005 --no-pin-pressure","Reached t=0.03 (step index 5) without dt reduction and without Newton stalls at steps 4–5; if user still sees “stuck” it is likely (a) dealii line-search mode, (b) CIP/DOF-extension disabled by env, or (c) perceived stall during first-time JIT compilation.",cleared
84,2026-01-11T13:58:07+01:00,Sliver θ floor refresh bug,"Fix examples/turek_fsi_fully_eulerian.py: refresh_hansbo_kappa previously re-clipped θ with hard-coded theta_min=1e-3 after each level-set update; now uses the global θ floor (theta_min=max(SLIVER_THETAMIN,1e-12)) so sliver weights/κ are consistent across time steps.","Before fix, step 2+ logs showed min θ+=1e-3 regardless of true cut ratio; after fix min θ can drop to 1e-6 with larger w (e.g. max w≈3e2).",cleared
85,2026-01-11T13:58:07+01:00,Step-5 failure source (interface penalty jump),"Use PYCUTFEM_INTERFACE_RESIDUAL_TRACE=1 on restart (t0=0.02) to decompose interface residual: R_int_pen dominates (|R|_∞≈5.23e8) while flux parts are O(1e4). Residual breakdown at worst DOF also shows interface kernel contribution O(1e9).","Indicates Newton stall is driven by a huge velocity jump across Γ (Nitsche penalty term), not by pressure oscillations; focus should be on extension/guess/penalty scaling rather than Taylor–Hood alone.",open
86,2026-01-11T13:58:07+01:00,Solid kinematic stabilization option,"Add optional stabilization to the kinematic constraint (d_t d - u = 0): SOLID_KINEMATIC_STAB and SOLID_KINEMATIC_STAB_EXP add -α h^s ⟨∇u_s,∇v_d⟩ on Ω_s to damp high-frequency/extension artifacts in u_s.","With SOLID_KINEMATIC_STAB=1 and LS_MODE=dealii at step 5 restart, residual decreases much more than baseline but still needs additional robustness tuning to converge at dt=0.005.",open
